NACE,EuralCode,AG
0111,020109,A
0111,080201,A
0111,080307,A
0111,080308,A
0111,020703,A
0111,040109,A
0111,180109,A
0111,180208,A
0111,160505,A
0111,180107,A
0111,180206,A
0111,160509,A
0111,020108,A
0111,070514,A
0111,070513,A
0111,040217,A
0111,080112,A
0111,080114,A
0111,080116,A
0111,080118,A
0111,080120,A
0111,080313,A
0111,080315,A
0111,080318,A
0111,080410,A
0111,080412,A
0111,080414,A
0111,080416,A
0111,040216,A
0111,080111,A
0111,080113,A
0111,080115,A
0111,080117,A
0111,080119,A
0111,080312,A
0111,080314,A
0111,080317,A
0111,080409,A
0111,080411,A
0111,080413,A
0111,080415,A
0111,030299,A
0111,040215,A
0111,070215,A
0111,070217,A
0111,030201,A
0111,030202,A
0111,030203,A
0111,030204,A
0111,030205,A
0111,040214,A
0111,050701,A
0111,060802,A
0111,070214,A
0111,070216,A
0111,070413,A
0111,080121,A
0111,080501,A
0111,200119,A
0111,200132,A
0111,180108,A
0111,180207,A
0111,200131,A
0111,200128,A
0111,200127,A
0111,100916,A
0111,160115,A
0111,200130,A
0111,100913,A
0111,100915,A
0111,110116,A
0111,110198,A
0111,160113,A
0111,160114,A
0111,160504,A
0111,160903,A
0111,160904,A
0111,180106,A
0111,180205,A
0111,200117,A
0111,200129,A
0111,160402,A
0111,160403,A
0111,160401,A
0111,160506,A
0111,160507,A
0111,160508,A
0111,150110,A
0111,061301,A
0111,061002,A
0111,101014,A
0111,101016,A
0111,101013,A
0111,101015,A
0112,020109,A
0112,080201,A
0112,080307,A
0112,080308,A
0112,020703,A
0112,040109,A
0112,180109,A
0112,180208,A
0112,160505,A
0112,180107,A
0112,180206,A
0112,160509,A
0112,020108,A
0112,070514,A
0112,070513,A
0112,040217,A
0112,080112,A
0112,080114,A
0112,080116,A
0112,080118,A
0112,080120,A
0112,080313,A
0112,080315,A
0112,080318,A
0112,080410,A
0112,080412,A
0112,080414,A
0112,080416,A
0112,040216,A
0112,080111,A
0112,080113,A
0112,080115,A
0112,080117,A
0112,080119,A
0112,080312,A
0112,080314,A
0112,080317,A
0112,080409,A
0112,080411,A
0112,080413,A
0112,080415,A
0112,030299,A
0112,040215,A
0112,070215,A
0112,070217,A
0112,030201,A
0112,030202,A
0112,030203,A
0112,030204,A
0112,030205,A
0112,040214,A
0112,050701,A
0112,060802,A
0112,070214,A
0112,070216,A
0112,070413,A
0112,080121,A
0112,080501,A
0112,200119,A
0112,200132,A
0112,180108,A
0112,180207,A
0112,200131,A
0112,200128,A
0112,200127,A
0112,100916,A
0112,160115,A
0112,200130,A
0112,100913,A
0112,100915,A
0112,110116,A
0112,110198,A
0112,160113,A
0112,160114,A
0112,160504,A
0112,160903,A
0112,160904,A
0112,180106,A
0112,180205,A
0112,200117,A
0112,200129,A
0112,160402,A
0112,160403,A
0112,160401,A
0112,160506,A
0112,160507,A
0112,160508,A
0112,150110,A
0112,061301,A
0112,061002,A
0112,101014,A
0112,101016,A
0112,101013,A
0112,101015,A
0113,020109,A
0113,080201,A
0113,080307,A
0113,080308,A
0113,020703,A
0113,040109,A
0113,180109,A
0113,180208,A
0113,160505,A
0113,180107,A
0113,180206,A
0113,160509,A
0113,020108,A
0113,070514,A
0113,070513,A
0113,040217,A
0113,080112,A
0113,080114,A
0113,080116,A
0113,080118,A
0113,080120,A
0113,080313,A
0113,080315,A
0113,080318,A
0113,080410,A
0113,080412,A
0113,080414,A
0113,080416,A
0113,040216,A
0113,080111,A
0113,080113,A
0113,080115,A
0113,080117,A
0113,080119,A
0113,080312,A
0113,080314,A
0113,080317,A
0113,080409,A
0113,080411,A
0113,080413,A
0113,080415,A
0113,030299,A
0113,040215,A
0113,070215,A
0113,070217,A
0113,030201,A
0113,030202,A
0113,030203,A
0113,030204,A
0113,030205,A
0113,040214,A
0113,050701,A
0113,060802,A
0113,070214,A
0113,070216,A
0113,070413,A
0113,080121,A
0113,080501,A
0113,200119,A
0113,200132,A
0113,180108,A
0113,180207,A
0113,200131,A
0113,200128,A
0113,200127,A
0113,100916,A
0113,160115,A
0113,200130,A
0113,100913,A
0113,100915,A
0113,110116,A
0113,110198,A
0113,160113,A
0113,160114,A
0113,160504,A
0113,160903,A
0113,160904,A
0113,180106,A
0113,180205,A
0113,200117,A
0113,200129,A
0113,160402,A
0113,160403,A
0113,160401,A
0113,160506,A
0113,160507,A
0113,160508,A
0113,150110,A
0113,061301,A
0113,061002,A
0113,101014,A
0113,101016,A
0113,101013,A
0113,101015,A
0114,020109,A
0114,080201,A
0114,080307,A
0114,080308,A
0114,020703,A
0114,040109,A
0114,180109,A
0114,180208,A
0114,160505,A
0114,180107,A
0114,180206,A
0114,160509,A
0114,020108,A
0114,070514,A
0114,070513,A
0114,040217,A
0114,080112,A
0114,080114,A
0114,080116,A
0114,080118,A
0114,080120,A
0114,080313,A
0114,080315,A
0114,080318,A
0114,080410,A
0114,080412,A
0114,080414,A
0114,080416,A
0114,040216,A
0114,080111,A
0114,080113,A
0114,080115,A
0114,080117,A
0114,080119,A
0114,080312,A
0114,080314,A
0114,080317,A
0114,080409,A
0114,080411,A
0114,080413,A
0114,080415,A
0114,030299,A
0114,040215,A
0114,070215,A
0114,070217,A
0114,030201,A
0114,030202,A
0114,030203,A
0114,030204,A
0114,030205,A
0114,040214,A
0114,050701,A
0114,060802,A
0114,070214,A
0114,070216,A
0114,070413,A
