Produced;Treated;Amount;tag;colour
POINT (4.73 52.40);POINT (5.57 52.26);400,68;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.73 52.41);POINT (4.45 51.54);6,46;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.73 52.41);POINT (4.94 51.83);0,005;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.73 52.41);POINT (5.11 52.04);5,545;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.74 52.41);POINT (4.58 51.67);12,54;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.74 52.41);POINT (4.60 51.69);148,12;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.74 52.41);POINT (4.94 51.83);0,024;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.74 52.41);POINT (5.06 52.11);19,36;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.74 52.41);POINT (5.11 52.04);0,468;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.74 52.41);POINT (6.05 53.11);1,206;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.74 52.40);POINT (4.94 51.83);17,047;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.74 52.40);POINT (4.88 51.80);0,4;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.74 52.40);POINT (5.18 52.00);15;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.74 52.39);POINT (5.32 51.90);4,55;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.74 52.41);POINT (4.45 51.54);0,78;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.74 52.40);POINT (4.45 51.54);17,154;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.74 52.40);POINT (5.37 52.16);0,241;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.75 52.40);POINT (5.37 52.16);0,075;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.75 52.40);POINT (4.94 51.83);0,031;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.75 52.41);POINT (4.94 51.83);0,023;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.75 52.40);POINT (4.62 51.78);112,3;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.75 52.40);POINT (5.83 51.65);11,52;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.75 52.41);POINT (6.06 50.89);0,012;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.75 52.40);POINT (4.60 51.69);56,88;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.75 52.40);POINT (5.07 52.11);29,02;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.75 52.40);POINT (4.94 51.83);0,324;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.75 52.40);POINT (5.43 51.43);100,499;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.75 52.41);POINT (4.45 51.54);0,1;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.75 52.41);POINT (4.45 51.54);0,42;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.75 52.41);POINT (4.83 52.68);184,66;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.75 52.41);POINT (6.05 53.11);0,284;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.75 52.38);POINT (4.94 51.83);0,025;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.75 52.40);POINT (4.60 51.69);13,68;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.75 52.40);POINT (4.89 51.62);36,92;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.75 52.40);POINT (5.53 51.63);48,44;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.75 52.40);POINT (6.07 52.20);766,12;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.76 52.41);POINT (4.26 51.88);562,78;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.76 52.41);POINT (4.54 51.94);9,2;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.76 52.41);POINT (4.88 51.80);1,68;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.76 52.41);POINT (5.73 51.85);1,748;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.76 52.35);POINT (4.57 52.27);30,72;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.76 52.35);POINT (5.18 52.67);51,42;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.76 52.40);POINT (4.60 51.69);445,8;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.76 52.40);POINT (5.11 52.04);610,408;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.76 52.40);POINT (5.66 51.46);3,065;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.76 52.40);POINT (5.73 51.85);19,794;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.76 52.40);POINT (5.89 52.97);11,94;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.76 52.41);POINT (5.10 52.63);1,82;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.76 52.35);POINT (4.29 52.01);4,65;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.76 52.35);POINT (4.42 51.93);146,76;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.76 52.35);POINT (4.44 52.02);0,54;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.76 52.35);POINT (4.52 51.88);68,02;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.76 52.35);POINT (4.76 52.60);10,1;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.76 52.35);POINT (5.26 52.17);481,4;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.76 52.41);POINT (4.75 52.61);722,27;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.76 52.41);POINT (5.57 52.26);229,45;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.76 52.39);POINT (4.45 51.54);9,223;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.76 52.39);POINT (5.32 51.90);2,15;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.76 52.39);POINT (5.73 51.85);0,372;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.76 52.35);POINT (5.11 52.04);0,171;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.76 52.35);POINT (6.05 53.11);48,718;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.76 52.41);POINT (4.76 52.60);26,92;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.76 52.39);POINT (5.07 52.11);171,66;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.76 52.39);POINT (4.45 51.54);0,6;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.76 52.35);POINT (5.11 52.04);0,058;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.76 52.39);POINT (4.94 51.83);0,127;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.76 52.39);POINT (5.32 51.90);1,96;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.76 52.39);POINT (4.94 51.83);0,114;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.76 52.41);POINT (4.44 52.21);0,56;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.76 52.41);POINT (4.58 51.67);5,709;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.76 52.41);POINT (4.72 51.82);4,86;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.76 52.41);POINT (5.05 51.70);2,18;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.76 52.41);POINT (5.43 51.43);2,32;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.76 52.41);POINT (6.05 53.11);0,144;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.76 52.41);POINT (5.11 52.04);0,107;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.76 52.39);POINT (4.94 51.83);0,103;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.76 52.39);POINT (4.94 51.83);1,64;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.76 52.35);POINT (5.89 52.97);1,86;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.76 52.35);POINT (5.11 52.04);0,026;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.76 52.39);POINT (5.39 52.20);121,92;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.76 52.39);POINT (4.45 51.54);2,1;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.76 52.39);POINT (5.04 51.70);0,072;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.76 52.39);POINT (4.45 51.54);0,38;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.76 52.39);POINT (4.94 51.83);0,532;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.76 52.39);POINT (5.32 51.90);1,8;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.76 52.39);POINT (5.07 52.11);85,86;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.76 52.39);POINT (5.39 52.20);40,9;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.76 52.35);POINT (5.11 52.04);0,048;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.76 52.35);POINT (5.32 51.90);6,5;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.76 52.35);POINT (4.94 51.83);0,064;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.76 52.39);POINT (4.94 51.83);0,443;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.76 52.41);POINT (4.23 51.88);0,06;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.76 52.41);POINT (4.60 51.69);639,1;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.76 52.41);POINT (4.83 52.68);646,54;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.76 52.41);POINT (4.89 51.96);75,78;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.76 52.41);POINT (4.94 51.83);7,496;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.76 52.41);POINT (5.71 52.53);912,5;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.76 52.41);POINT (6.20 52.15);616,3;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.76 52.41);POINT (6.61 53.19);298,32;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.77 52.40);POINT (4.60 51.69);1,02;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.77 52.39);POINT (4.94 51.83);0,166;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.77 52.35);POINT (5.11 52.04);0,19;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.77 52.35);POINT (5.32 51.90);5,6;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.77 52.39);POINT (4.26 51.88);70,12;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.77 52.39);POINT (4.56 51.66);3,6;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.77 52.39);POINT (4.60 51.69);3133,48;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.77 52.39);POINT (4.76 52.62);7,28;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.77 52.39);POINT (4.83 52.68);16,48;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.77 52.39);POINT (4.94 51.83);7,037;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.77 52.39);POINT (5.06 52.11);56,38;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.77 52.39);POINT (5.07 52.11);497,2;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.77 52.39);POINT (5.18 52.00);153;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.77 52.39);POINT (5.44 51.50);735,82;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.77 52.39);POINT (5.89 52.97);7,36;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.77 52.42);POINT (4.45 51.54);9,563;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.77 52.42);POINT (4.60 51.69);0,6;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.77 52.42);POINT (5.11 52.04);2,578;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.77 52.35);POINT (5.37 52.16);0,861;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.77 52.37);POINT (4.94 51.83);0,897;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.77 52.37);POINT (5.04 51.70);0,096;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.77 52.37);POINT (5.89 52.97);0,15;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.77 52.37);POINT (5.04 51.70);0,073;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.77 52.38);POINT (5.73 51.85);0,136;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.77 52.39);POINT (5.98 52.18);0,12;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.77 52.39);POINT (4.45 51.54);1,04;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.77 52.39);POINT (6.05 53.11);1,294;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.77 52.39);POINT (5.11 52.04);0,39;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.77 52.34);POINT (4.94 52.09);3,56;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.77 52.39);POINT (4.94 51.83);0,229;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.77 52.39);POINT (4.94 51.83);12,132;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.77 52.36);POINT (4.87 52.21);77,12;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.38);POINT (5.11 52.04);0,236;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.35);POINT (4.36 52.06);3;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.39);POINT (5.41 51.48);7,8;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.39);POINT (6.05 53.11);30,889;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.39);POINT (5.66 51.65);28,06;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.35);POINT (4.78 52.20);25,92;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.39);POINT (4.94 51.83);0,265;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.39);POINT (5.11 52.04);0,164;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.39);POINT (4.34 52.06);1280,14;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.39);POINT (4.45 51.54);1,6;Waste treated outside of the metropolitan region;rgb(94,82,160)
POINT (4.78 52.39);POINT (4.94 51.83);0,263;Waste treated outside of the metropolitan region;rgb(94,82,160)
