id;geometry;waste amount;co2 amount
2;LINESTRING(6.527191709 52.994734491, 6.5352129 52.98092315);2845,418;0,769767556
3;LINESTRING(6.527191709 52.994734491, 6.512666383 52.991590267, 6.497045964 52.992825414);2784,353;0,955243645
4;LINESTRING(6.527191709 52.994734491, 6.539659817 53.0007844);1,485;0,001012125
5;LINESTRING(6.572151796 53.027192582, 6.602997957 53.080985771);231624,741;139,7460289
6;LINESTRING(6.572151796 53.027192582, 6.570512027 53.012841083);231645,585;35,35228659
7;LINESTRING(6.572151796 53.027192582, 6.5715247 53.0299936, 6.5781366 53.0734647, 6.5797297 53.07790835);14,864;0,074283264
9;LINESTRING(6.5352129 52.98092315, 6.546800706 52.957434976);2852,058;1,294505034
13;LINESTRING(6.602997957 53.080985771, 6.6059114 53.0803381, 6.619245 53.0790639, 6.61946955 53.07905705, 6.6196941 53.0790502, 6.6523678 53.0850336, 6.655820271 53.085820059);289,243;0,287121468
14;LINESTRING(6.602997957 53.080985771, 6.61067105 53.1168882);231293,223;88,4664763
15;LINESTRING(6.570512027 53.012841083, 6.564363682 52.996429223);231652,55;41,36295688
19;LINESTRING(6.5797297 53.07790835, 6.5806527 53.0809087, 6.5470786 53.0970063, 6.546564856 53.097507678);4,264;0,012626092
20;LINESTRING(6.497045964 52.992825414, 6.4924163 52.9927871, 6.4827395 53.0202432);2776,232;1,552972597
22;LINESTRING(6.4827395 53.0202432, 6.4571483 53.0450825, 6.4594393 53.0662134);2751,821;2,479963846
24;LINESTRING(6.4301904 52.9357337, 6.4035559 52.911085, 6.400787582 52.910191559);15368,211;9,498795212
25;LINESTRING(6.4301904 52.9357337, 6.3999677 52.9462513);15263,971;6,314562772
26;LINESTRING(6.54852991 52.973758345, 6.5586832 52.9695621, 6.645583 52.973633, 6.650975306 52.975308467);31,11;0,105578598
28;LINESTRING(6.54852991 52.973758345, 6.568501289 52.987801389, 6.5692285 52.9908615);231775,672;53,27246115
29;LINESTRING(6.54852991 52.973758345, 6.546800706 52.957434976);231815,292;40,38132985
31;LINESTRING(6.546800706 52.957434976, 6.542051369 52.954334046);234673,48;10,6521463
36;LINESTRING(6.650975306 52.975308467, 6.6580105 52.9773968, 6.7448862 53.0096007, 6.74972772 53.009883207);30,33;0,10840313
40;LINESTRING(6.784062189 52.922828305, 6.7838103 52.9264903, 6.7771609 52.9713203, 6.776299133 52.974674811);265,956;0,473669007
41;LINESTRING(6.784062189 52.922828305, 6.7866318 52.9233836, 6.7883685 52.9237067, 6.78895634 52.92380778, 6.795021557 52.924184557, 6.7997775 52.9244601, 6.8349444 52.9290224);37577,396;14,57316587
42;LINESTRING(6.784062189 52.922828305, 6.7780601 52.9214969, 6.6993651 52.9045553, 6.699154575 52.9045052);37867,388;25,86610208
45;LINESTRING(6.61067105 53.1168882, 6.609630081 53.125550994);231293,223;21,22669925
46;LINESTRING(6.564363682 52.996429223, 6.549852712 52.999777187);0,38;0,000487536
47;LINESTRING(6.564363682 52.996429223, 6.5692285 52.9908615);231775,672;15,52453958
48;LINESTRING(6.564363682 52.996429223, 6.5700778 52.9955553, 6.578543 52.995204, 6.57948975 52.99520355, 6.5805902 52.9952035, 6.5896919 52.9930134, 6.593878237 52.993090937);60,64;0,071281903
52;LINESTRING(6.542051369 52.954334046, 6.5414476 52.9495688, 6.5123067 52.8772313, 6.51436796 52.87133086);234673,48;215,0131852
54;LINESTRING(6.609630081 53.125550994, 6.6119055 53.1273757, 6.6278574 53.1329206);151123,099;23,63057373
56;LINESTRING(6.609630081 53.125550994, 6.602804 53.1232283, 6.5667777 53.1462528, 6.56674785 53.14636445, 6.566718 53.1464761, 6.5638927 53.1570516, 6.563869156 53.1576159);1,12;0,006392844
58;LINESTRING(6.546564856 53.097507678, 6.5462792 53.0980228, 6.5180072 53.1114984, 6.51786885 53.11160555, 6.5177305 53.1117127, 6.4962591 53.1378278, 6.49604625 53.13793865, 6.4958334 53.1380495, 6.4823889 53.1476359, 6.4826081 53.148291717);3,564;0,021677579
61;LINESTRING(7.0627077 52.8216916, 7.0462538 52.8112643);49,165;0,030487376
64;LINESTRING(7.02760035 52.850224712, 7.020003 52.8474621, 6.9777196 52.8320596, 6.97752815 52.8319843, 6.9773367 52.831909, 6.9473484 52.819732, 6.9488984 52.8026148, 6.94891558 52.80246186);0,66;0,006747144
66;LINESTRING(7.0462538 52.8112643, 6.9491292 52.8024993, 6.94891558 52.80246186);49,775;0,131023363
68;LINESTRING(6.94891558 52.80246186, 6.942067667 52.778083825, 6.932251767 52.769513489);54,915;0,09257205
70;LINESTRING(7.039663284 52.733225795, 6.979201573 52.733802818);6,055;0,020488249
73;LINESTRING(6.979201573 52.733802818, 6.971540655 52.736986455);665,72;0,084417976
75;LINESTRING(7.00808855 52.86677415, 7.005661 52.866684);0,81;0,00013978
77;LINESTRING(6.971540655 52.736986455, 6.87731324 52.723044365);666,752;0,889013837
79;LINESTRING(6.932251767 52.769513489, 6.897484071 52.759885514);9133,928;2,511466453
82;LINESTRING(6.87731324 52.723044365, 6.839917277 52.726789746);689,832;0,391937326
83;LINESTRING(6.897484071 52.759885514, 6.894157733 52.777127617);38,863;0,045132104
85;LINESTRING(6.897484071 52.759885514, 6.8937755 52.7586082, 6.8706558 52.7586618, 6.860965514 52.7590898);14289,132;4,563623881
86;LINESTRING(6.9558721 52.6482622, 6.8836921 52.6622213, 6.877612583 52.663954767);15,385;0,05078024
88;LINESTRING(6.877612583 52.663954767, 6.8748579 52.6646101, 6.8672266 52.6400775);5,14;0,007547665
89;LINESTRING(6.877612583 52.663954767, 6.8746562 52.6647053, 6.7677764 52.6563271, 6.759286925 52.657511254);436,251;0,946885878
91;LINESTRING(7.005661 52.866684, 6.9487848 52.8449171, 6.94860125 52.8449067, 6.9484177 52.8448963, 6.9195309 52.8223595, 6.9193675 52.8220754, 6.9192041 52.8217913, 6.8995946 52.7954783, 6.901949267 52.7934138);0,81;0,009636538
92;LINESTRING(7.0178514 52.926117, 7.0269871 52.920647, 7.03176495 52.91973555, 7.0365428 52.9188241, 7.0386027 52.8933728);36,266;0,111239207
93;LINESTRING(6.901949267 52.7934138, 6.8929034 52.78866293);19,9;0,010148271
94;LINESTRING(6.897091683 52.96218915, 6.9016012 52.9639866, 6.9547939 52.975011, 6.956024067 52.9754346);37507,331;17,50234281
96;LINESTRING(6.897091683 52.96218915, 6.8926135 52.9603986, 6.8533617 52.9344601, 6.851714517 52.933536967, 6.8494932 52.9325992, 6.8349444 52.9290224);37574,831;23,57508015
